2026-06-29 12:42:18.395 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5004/api/bookings/my-bookings'
2026-06-29 12:42:18.396 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5007/api/loyalty/history'
2026-06-29 12:42:18.398 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5005/api/payments/my-payments'
2026-06-29 12:42:18.399 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5007/api/loyalty/account'
2026-06-29 12:42:20.422 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5004/api/bookings/my-bookings.'
2026-06-29 12:42:20.425 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:20.428 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:20.434 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000006, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:20.468 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5007/api/loyalty/history.'
2026-06-29 12:42:20.470 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:20.473 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:20.475 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:20.498 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5005/api/payments/my-payments.'
2026-06-29 12:42:20.500 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:20.502 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:20.504 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:20.509 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5007/api/loyalty/account.'
2026-06-29 12:42:20.512 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:20.514 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:20.516 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:21.881 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-29 12:42:21.885 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/HotelAmenities'
2026-06-29 12:42:21.886 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-29 12:42:21.888 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/HotelAmenities'
2026-06-29 12:42:21.886 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-29 12:42:21.890 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-29 12:42:21.890 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-29 12:42:21.891 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-29 12:42:21.893 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/HotelAmenities'
2026-06-29 12:42:21.894 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/RoomAmenities'
2026-06-29 12:42:21.897 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-29 12:42:21.898 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/bookings'
2026-06-29 12:42:21.900 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/managers'
2026-06-29 12:42:21.902 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/HotelAmenities'.'
2026-06-29 12:42:21.903 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/RoomAmenities'
2026-06-29 12:42:21.906 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-29 12:42:21.907 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/bookings/{everything}'
2026-06-29 12:42:21.909 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-29 12:42:21.911 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: '/api/HotelAmenities route does not require user to be authorized'
2026-06-29 12:42:21.913 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/RoomAmenities'
2026-06-29 12:42:21.914 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-29 12:42:21.916 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/bookings/{everything}'
2026-06-29 12:42:21.917 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-29 12:42:21.919 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/HotelAmenities'
2026-06-29 12:42:21.920 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/RoomAmenities'.'
2026-06-29 12:42:21.922 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-29 12:42:21.923 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'The path '/api/bookings' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-06-29 12:42:21.930 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: '/api/RoomAmenities route does not require user to be authorized'
2026-06-29 12:42:21.933 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
